id,Generation,Type1,Type2,Name,Health Points,Attack,Defense,Special Attack,Special Defense,Speed,Total
1,1,Grass,Poison,Bulbasaur,45,49,49,65,65,45,318
2,1,Grass,Poison,Ivysaur,60,62,63,80,80,60,405
3,1,Grass,Poison,Venusaur,80,82,83,100,100,80,525
3,1,Grass,Poison,Mega Venusaur,80,100,123,122,120,80,625
4,1,Fire,None,Charmander,39,52,43,60,50,65,309
5,1,Fire,None,Charmeleon,58,64,58,80,65,80,405
6,1,Fire,Flying,Charizard,78,84,78,109,85,100,534
6,1,Fire,Dragon,Mega Charizard X,78,130,111,130,85,100,634
6,1,Fire,Flying,Mega Charizard Y,78,104,78,159,115,100,634
7,1,Water,None,Squirtle,44,48,65,50,64,43,314
8,1,Water,None,Wartortle,59,63,80,65,80,58,405
9,1,Water,None,Blastoise,79,83,100,85,105,78,530
9,1,Water,None,Mega Blastoise,79,103,120,135,115,78,630
10,1,Bug,None,Caterpie,45,30,35,20,20,45,195
11,1,Bug,None,Metapod,50,20,55,25,25,30,205
12,1,Bug,Flying,Butterfree,60,45,50,90,80,70,395
13,1,Bug,Poison,Weedle,40,35,30,20,20,50,195
14,1,Bug,Poison,Kakuna,45,25,50,25,25,35,205
15,1,Bug,Poison,Beedrill,65,90,40,45,80,75,395
16,1,Normal,Flying,Pidgey,40,45,40,35,35,56,251
17,1,Normal,Flying,Pidgeotto,63,60,55,50,50,71,349
18,1,Normal,Flying,Pidgeot,83,80,75,70,70,101,479
19,1,Normal,None,Rattata,30,56,35,25,35,72,253
20,1,Normal,None,Raticate,55,81,60,50,70,97,413
21,1,Normal,Flying,Spearow,40,60,30,31,31,70,262
22,1,Normal,Flying,Fearow,65,90,65,61,61,100,442
23,1,Poison,None,Ekans,35,60,44,40,54,55,288
24,1,Poison,None,Arbok,60,85,69,65,79,80,438
25,1,Electric,None,Pikachu,35,55,40,50,50,90,320
26,1,Electric,None,Raichu,60,90,55,90,80,110,485
27,1,Ground,None,Sandshrew,50,75,85,20,30,40,300
28,1,Ground,None,Sandslash,75,100,110,45,55,65,450
29,1,Poison,None,Nidoran female,55,47,52,40,40,41,275
30,1,Poison,None,Nidorina,70,62,67,55,55,56,365
31,1,Poison,Ground,Nidoqueen,90,92,87,75,85,76,505
32,1,Poison,None,Nidoran male,46,57,40,40,40,50,273
33,1,Poison,None,Nidorino,61,72,57,55,55,65,365
34,1,Poison,Ground,Nidoking,81,102,77,85,75,85,505
35,1,Fairy,None,Clefairy,70,45,48,60,65,35,323
36,1,Fairy,None,Clefable,95,70,73,95,90,60,483
37,1,Fire,None,Vulpix,38,41,40,50,65,65,299
38,1,Fire,None,Ninetales,73,76,75,81,100,100,505
39,1,Normal,Fairy,Jigglypuff,115,45,20,45,25,20,270
40,1,Normal,Fairy,Wigglytuff,140,70,45,85,50,45,435
41,1,Poison,Flying,Zubat,40,45,35,30,40,55,245
42,1,Poison,Flying,Golbat,75,80,70,65,75,90,455
